insert into final_flights values(1, 'Indigo', 450, 'First Class', 'India');
insert into final_flights values(2, 'Indigo', 400, 'Business Class', 'India');
insert into final_flights values(3, 'Indigo', 350, 'Economy Class', 'India');
insert into final_flights values(4, 'Delta Airlines', 1600, 'First Class', 'USA');
insert into final_flights values(5, 'Delta Airlines', 1300, 'Business Class', 'USA');
insert into final_flights values(6, 'Delta Airlines', 1000, 'Economy Class', 'USA');
insert into final_flights values(7, 'Air Canada', 1000, 'First Class', 'Canada');
insert into final_flights values(8, 'Air Canada', 900, 'Business Class', 'Canada');
insert into final_flights values(9, 'Air Canada', 700, 'Economy Class', 'Canada');
insert into final_flights values(10, 'British Airways', 1100, 'First Class', 'England');
insert into final_flights values(11, 'British Airways', 1000, 'Business Class', 'England');
insert into final_flights values(12, 'British Airways', 900, 'Economy Class', 'England');
insert into final_flights values(13, 'Iberia Express', 950, 'First Class', 'Spain');
insert into final_flights values(14, 'Iberia Express', 750, 'Business Class', 'Spain');
insert into final_flights values(15, 'Iberia Express', 600, 'Economy Class', 'Spain');
insert into final_flights values(16, 'Air Dolomiti', 800, 'First Class', 'Italy');
insert into final_flights values(17, 'Air Dolomiti', 700, 'Business Class', 'Italy');
insert into final_flights values(18, 'Air Dolomiti', 600, 'Economy Class', 'Italy');
insert into final_flights values(19, 'Air France', 1100, 'First Class', 'France');
insert into final_flights values(20, 'Air France', 1000, 'Business Class', 'France');
insert into final_flights values(21, 'Air France', 900, 'Economy Class', 'France');
insert into final_flights values(22, 'Rossiya Airlines', 900, 'First Class', 'Russia');
insert into final_flights values(23, 'Rossiya Airlines', 800, 'Business Class', 'Russia');
insert into final_flights values(24, 'Rossiya Airlines', 700, 'Economy Class', 'Russia');
insert into final_flights values(25, 'Scandinavian Airlines', 900, 'First Class', 'Sweden');
insert into final_flights values(26, 'Scandinavian Airlines', 800, 'Business Class', 'Sweden');
insert into final_flights values(27, 'Scandinavian Airlines', 700, 'Economy Class', 'Sweden');
insert into final_flights values(28, 'Scandinavian Airlines', 900, 'First Class', 'Norway');
insert into final_flights values(29, 'Scandinavian Airlines', 800, 'Business Class', 'Norway');
insert into final_flights values(30, 'Scandinavian Airlines', 700, 'Economy Class', 'Norway');
insert into final_flights values(31, 'Lufthansa', 1300, 'First Class', 'Germany');
insert into final_flights values(32, 'Lufthansa', 1200, 'Business Class', 'Germany');
insert into final_flights values(33, 'Lufthansa', 1000, 'Economy Class', 'Germany');
insert into final_flights values(34, 'Swiss International Air Lines', 900, 'First Class', 'Switzerland');
insert into final_flights values(35, 'Swiss International Air Lines', 800, 'Business Class', 'Switzerland');
insert into final_flights values(36, 'Swiss International Air Lines', 500, 'Economy Class', 'Switzerland');
insert into final_flights values(37, 'Corendon Dutch Airlines', 900, 'First Class', 'Netherlands');
insert into final_flights values(38, 'Corendon Dutch Airlines', 800, 'Business Class', 'Netherlands');
insert into final_flights values(39, 'Corendon Dutch Airlines', 500, 'Economy Class', 'Netherlands');
insert into final_flights values(40, 'Air Belgium', 900, 'First Class', 'Belgium');
insert into final_flights values(41, 'Air Belgium', 800, 'Business Class', 'Belgium');
insert into final_flights values(42, 'Air Belgium', 500, 'Economy Class', 'Belgium');
insert into final_flights values(43, 'Scandinavian Airlines', 900, 'First Class', 'Denmark');
insert into final_flights values(44, 'Scandinavian Airlines', 800, 'Business Class', 'Denmark');
insert into final_flights values(45, 'Scandinavian Airlines', 400, 'Economy Class', 'Denmark');
insert into final_flights values(46, 'Jetstar Japan', 900, 'First Class', 'Japan');
insert into final_flights values(47, 'Jetstar Japan', 700, 'Business Class', 'Japan');
insert into final_flights values(48, 'Jetstar Japan', 500, 'Economy Class', 'Japan');
insert into final_flights values(49, 'Air China', 900, 'First Class', 'China');
insert into final_flights values(50, 'Air China', 700, 'Business Class', 'China');
insert into final_flights values(51, 'Air China', 500, 'Economy Class', 'China');
insert into final_flights values(52, 'Singapore Airlines', 1300, 'First Class', 'Singapore');
insert into final_flights values(53, 'Singapore Airlines', 1100, 'Business Class', 'Singapore');
insert into final_flights values(54, 'Singapore Airlines', 900, 'Economy Class', 'Singapore');
insert into final_flights values(55, 'Emirates', 1700, 'First Class', 'United Arab Emirates');
insert into final_flights values(56, 'Emirates', 1600, 'Business Class', 'United Arab Emirates');
insert into final_flights values(57, 'Emirates', 1200, 'Economy Class', 'United Arab Emirates');
insert into final_flights values(58, 'EgyptAir', 900, 'First Class', 'Egypt');
insert into final_flights values(59, 'EgyptAir', 800, 'Business Class', 'Egypt');
insert into final_flights values(60, 'EgyptAir', 500, 'Economy Class', 'Egypt');
insert into final_flights values(61, 'Air Arabia Maroc', 900, 'First Class', 'Morocco');
insert into final_flights values(62, 'Air Arabia Maroc', 800, 'Business Class', 'Morocco');
insert into final_flights values(63, 'Air Arabia Maroc', 700, 'Economy Class', 'Morocco');
insert into final_flights values(64, 'Aerodavinci', 900, 'First Class', 'Mexico');
insert into final_flights values(65, 'Aerodavinci', 800, 'Business Class', 'Mexico');
insert into final_flights values(66, 'Aerodavinci', 500, 'Economy Class', 'Mexico');





